channel1,channel2
0.2487,-0.7714
0.2790,-0.7618
0.3090,-0.7514
0.3387,-0.7402
0.3681,-0.7283
0.3971,-0.7156
0.4258,-0.7021
0.4540,-0.6879
0.4818,-0.6729
0.5090,-0.6573
0.5358,-0.6409
0.5621,-0.6239
0.5878,-0.6062
0.6129,-0.5878
0.6374,-0.5688
0.6613,-0.5491
0.6845,-0.5289
0.7071,-0.5080
0.7290,-0.4866
0.7501,-0.4647
0.7705,-0.4422
0.7902,-0.4192
0.8090,-0.3957
0.8271,-0.3717
0.8443,-0.3473
0.8607,-0.3225
0.8763,-0.2973
0.8910,-0.2717
0.9048,-0.2458
0.9178,-0.2195
0.9298,-0.1930
0.9409,-0.1661
0.9511,-0.1391
0.9603,-0.1118
0.9686,-0.0843
0.9759,-0.0566
0.9823,-0.0288
0.9877,-0.0009
0.9921,0.0271
0.9956,0.0551
0.9980,0.0832
0.9995,0.1113
1.0000,0.1393
0.9995,0.1673
0.9980,0.1952
0.9956,0.2230
0.9921,0.2506
0.9877,0.2781
0.9823,0.3054
0.9759,0.3325
0.9686,0.3593
0.9603,0.3859
0.9511,0.4121
0.9409,0.4380
0.9298,0.4635
0.9178,0.4887
0.9048,0.5134
0.8910,0.5377
0.8763,0.5616
0.8607,0.5849
0.8443,0.6078
0.8271,0.6301
0.8090,0.6518
0.7902,0.6730
0.7705,0.6935
0.7501,0.7134
0.7290,0.7327
0.7071,0.7513
0.6845,0.7692
0.6613,0.7864
0.6374,0.8028
0.6129,0.8185
0.5878,0.8335
0.5621,0.8476
0.5358,0.8610
0.5090,0.8735
0.4818,0.8852
0.4540,0.8961
0.4258,0.9061
0.3971,0.9152
0.3681,0.9234
0.3387,0.9308
0.3090,0.9372
0.2790,0.9428
0.2487,0.9474
0.2181,0.9511
0.1874,0.9538
0.1564,0.9557
0.1253,0.9565
0.0941,0.9565
0.0628,0.9554
0.0314,0.9535
0.0000,0.9505
-0.0314,0.9467
-0.0628,0.9418
-0.0941,0.9361
-0.1253,0.9294
-0.1564,0.9217
-0.1874,0.9131
-0.2181,0.9036
-0.2487,0.8932
-0.2790,0.8818
-0.3090,0.8696
-0.3387,0.8564
-0.3681,0.8424
-0.3971,0.8275
-0.4258,0.8117
-0.4540,0.7951
-0.4818,0.7777
-0.5090,0.7594
-0.5358,0.7403
-0.5621,0.7205
-0.5878,0.6999
-0.6129,0.6785
-0.6374,0.6564
-0.6613,0.6336
-0.6845,0.6101
-0.7071,0.5860
-0.7290,0.5612
-0.7501,0.5358
-0.7705,0.5098
-0.7902,0.4832
-0.8090,0.4561
-0.8271,0.4284
-0.8443,0.4003
-0.8607,0.3716
-0.8763,0.3426
-0.8910,0.3131
-0.9048,0.2833
-0.9178,0.2530
-0.9298,0.2225
-0.9409,0.1917
-0.9511,0.1605
-0.9603,0.1292
-0.9686,0.0976
-0.9759,0.0659
-0.9823,0.0340
-0.9877,0.0021
-0.9921,-0.0300
-0.9956,-0.0621
-0.9980,-0.0943
-0.9995,-0.1264
-1.0000,-0.1585
-0.9995,-0.1905
-0.9980,-0.2224
-0.9956,-0.2541
-0.9921,-0.2857
-0.9877,-0.3171
-0.9823,-0.3482
-0.9759,-0.3791
-0.9686,-0.4096
-0.9603,-0.4399
-0.9511,-0.4697
-0.9409,-0.4992
-0.9298,-0.5283
-0.9178,-0.5569
-0.9048,-0.5850
-0.8910,-0.6126
-0.8763,-0.6396
-0.8607,-0.6661
-0.8443,-0.6920
-0.8271,-0.7173
-0.8090,-0.7419
-0.7902,-0.7659
-0.7705,-0.7891
-0.7501,-0.8116
-0.7290,-0.8334
-0.7071,-0.8544
-0.6845,-0.8746
-0.6613,-0.8939
-0.6374,-0.9125
-0.6129,-0.9301
-0.5878,-0.9469
-0.5621,-0.9628
-0.5358,-0.9778
-0.5090,-0.9918
-0.4818,-1.0049
-0.4540,-1.0170
-0.4258,-1.0281
-0.3971,-1.0383
-0.3681,-1.0474
-0.3387,-1.0555
-0.3090,-1.0626
-0.2790,-1.0686
-0.2487,-1.0736
-0.2181,-1.0775
-0.1874,-1.0804
-0.1564,-1.0822
-0.1253,-1.0830
-0.0941,-1.0826
