index,cos_value
574,0.90464407
575,0.90431696
576,0.90398932
577,0.90366107
578,0.90333235
579,0.90300310
580,0.90267330
581,0.90234298
582,0.90201211
583,0.90168077
584,0.90134883
585,0.90101641
586,0.90068340
587,0.90034992
588,0.90001589
589,0.89968133
590,0.89934623
591,0.89901060
592,0.89867449
593,0.89833778
594,0.89800060
595,0.89766282
596,0.89732456
597,0.89698577
598,0.89664650
599,0.89630663
600,0.89596623
601,0.89562535
602,0.89528394
603,0.89494199
604,0.89459950
605,0.89425647
606,0.89391297
607,0.89356887
608,0.89322430
609,0.89287919
610,0.89253354
611,0.89218742
612,0.89184070
613,0.89149350
614,0.89114577
615,0.89079750
616,0.89044875
617,0.89009941
618,0.88974959
619,0.88939923
620,0.88904834
621,0.88869697
622,0.88834500
623,0.88799256
624,0.88763964
625,0.88728613
626,0.88693213
627,0.88657761
628,0.88622254
629,0.88586694
630,0.88551086
631,0.88515425
632,0.88479710
633,0.88443941
634,0.88408124
635,0.88372254
636,0.88336331
637,0.88300359
638,0.88264334
639,0.88228256
640,0.88192129
641,0.88155943
642,0.88119709
643,0.88083428
644,0.88047087
645,0.88010699
646,0.87974256
647,0.87937766
648,0.87901223
649,0.87864625
650,0.87827981
651,0.87791282
652,0.87754530
653,0.87717730
654,0.87680870
655,0.87643969
656,0.87607008
657,0.87570000
658,0.87532938
659,0.87495828
660,0.87458664
661,0.87421453
662,0.87384182
663,0.87346864
664,0.87309498
665,0.87272078
666,0.87234604
667,0.87197083
668,0.87159508
669,0.87121880
670,0.87084204
671,0.87046474
672,0.87008703
673,0.86970872
674,0.86932987
675,0.86895055
676,0.86857074
677,0.86819035
678,0.86780953
679,0.86742812
680,0.86704624
681,0.86666387
682,0.86628097
683,0.86589754
684,0.86551362
685,0.86512917
686,0.86474425
687,0.86435878
688,0.86397284
689,0.86358637
690,0.86319941
691,0.86281192
692,0.86242396
693,0.86203545
694,0.86164647
695,0.86125696
696,0.86086690
697,0.86047643
698,0.86008537
699,0.85969388
700,0.85930181
701,0.85890931
702,0.85851622
703,0.85812271
704,0.85772860
705,0.85733408
706,0.85693896
707,0.85654342
708,0.85614735
709,0.85575074
710,0.85535365
711,0.85495609
712,0.85455799
713,0.85415941
714,0.85376030
715,0.85336071
716,0.85296059
717,0.85255998
718,0.85215890
719,0.85175729
720,0.85135520
721,0.85095257
722,0.85054946
723,0.85014588
724,0.84974176
725,0.84933716
726,0.84893203
727,0.84852648
728,0.84812033
729,0.84771377
730,0.84730667
731,0.84689903
732,0.84649092
733,0.84608233
734,0.84567326
735,0.84526366
736,0.84485358
737,0.84444296
738,0.84403187
739,0.84362030
740,0.84320825
741,0.84279567
742,0.84238261
743,0.84196901
744,0.84155500
745,0.84114039
746,0.84072536
747,0.84030980
748,0.83989376
749,0.83947724
750,0.83906025
751,0.83864272
752,0.83822471
753,0.83780617
754,0.83738720
755,0.83696771
756,0.83654773
757,0.83612728
758,0.83570629
759,0.83528483
760,0.83486289
761,0.83444047
762,0.83401752
763,0.83359408
764,0.83317018
765,0.83274579
766,0.83232087
767,0.83189547
768,0.83146960
769,0.83104324
770,0.83061641
771,0.83018905
772,0.82976121
773,0.82933289
774,0.82890409
775,0.82847482
776,0.82804501
777,0.82761478
778,0.82718402
779,0.82675278
780,0.82632107
781,0.82588881
782,0.82545614
783,0.82502300
784,0.82458931
785,0.82415515
786,0.82372051
787,0.82328540
788,0.82284981
789,0.82241368
790,0.82197714
791,0.82154006
792,0.82110250
793,0.82066447
794,0.82022595
795,0.81978697
796,0.81934750
797,0.81890756
798,0.81846714
799,0.81802619
800,0.81758481
801,0.81714290
802,0.81670058
803,0.81625772
804,0.81581438
805,0.81537062
806,0.81492633
807,0.81448156
808,0.81403631
809,0.81359065
810,0.81314445
811,0.81269777
812,0.81225061
813,0.81180298
814,0.81135488
815,0.81090629
816,0.81045723
817,0.81000769
818,0.80955768
819,0.80910712
820,0.80865616
821,0.80820471
822,0.80775285
823,0.80730045
824,0.80684757
825,0.80639422
826,0.80594039
